Date,CAIX
2022-04-19 00:00:00,185.38
2022-04-18 00:00:00,179.39
2022-04-15 00:00:00,179.38
2022-04-14 00:00:00,179.38
2022-04-13 00:00:00,173.04
2022-04-12 00:00:00,167.62
2022-04-11 00:00:00,161.79
2022-04-08 00:00:00,166.08
2022-04-07 00:00:00,162.25
2022-04-06 00:00:00,163.45
2022-04-05 00:00:00,163.56
2022-04-04 00:00:00,163.24
2022-04-01 00:00:00,162.76
2022-03-31 00:00:00,162.04
2022-03-30 00:00:00,162.93
2022-03-29 00:00:00,167.71
2022-03-28 00:00:00,171.5
2022-03-25 00:00:00,174.27
2022-03-24 00:00:00,173.07
2022-03-23 00:00:00,174.97
2022-03-22 00:00:00,166.59
2022-03-21 00:00:00,178.07
2022-03-18 00:00:00,179.19
2022-03-17 00:00:00,190.06
2022-03-16 00:00:00,172.16
2022-03-15 00:00:00,168.33
2022-03-14 00:00:00,187.33
2022-03-11 00:00:00,187.26
2022-03-10 00:00:00,187.27
2022-03-09 00:00:00,187.25
2022-03-08 00:00:00,187.25
2022-03-07 00:00:00,187.23
2022-03-04 00:00:00,190.64
2022-03-03 00:00:00,188.48
2022-03-02 00:00:00,188.68
2022-03-01 00:00:00,188.72
2022-02-28 00:00:00,186.58
2022-02-25 00:00:00,186.65
2022-02-24 00:00:00,182.85
2022-02-23 00:00:00,175.64
2022-02-22 00:00:00,177.68
2022-02-21 00:00:00,175.54
2022-02-18 00:00:00,176.15
2022-02-17 00:00:00,176.24
2022-02-16 00:00:00,168.14
2022-02-15 00:00:00,184.3
2022-02-14 00:00:00,178.84
2022-02-11 00:00:00,172.13
2022-02-10 00:00:00,172.23
2022-02-09 00:00:00,173.54
2022-02-08 00:00:00,168.62
2022-02-07 00:00:00,175
2022-02-04 00:00:00,166.39
2022-02-03 00:00:00,155.01
2022-02-02 00:00:00,149.1
2022-02-01 00:00:00,148.36
2022-01-31 00:00:00,149.3
2022-01-28 00:00:00,145.68
2022-01-27 00:00:00,145.68
2022-01-26 00:00:00,145.67
2022-01-25 00:00:00,147.09
2022-01-24 00:00:00,146.58
2022-01-21 00:00:00,143.26
2022-01-20 00:00:00,143.13
2022-01-19 00:00:00,143
2022-01-18 00:00:00,145.58
2022-01-17 00:00:00,147.25
2022-01-14 00:00:00,143.5
2022-01-13 00:00:00,145.49
2022-01-12 00:00:00,144.48
2022-01-11 00:00:00,143.38
2022-01-10 00:00:00,144.25
2022-01-07 00:00:00,142.81
2022-01-06 00:00:00,139.63
2022-01-05 00:00:00,142.16
2022-01-04 00:00:00,137.13
2022-01-03 00:00:00,139.27
