Date,CISS
11/18/2016,0.0879
11/25/2016,0.082
12/2/2016,0.1248
12/9/2016,0.1472
12/16/2016,0.0934
12/23/2016,0.0759
12/30/2016,0.0532
1/6/2017,0.0756
1/13/2017,0.0632
1/20/2017,0.0736
1/27/2017,0.0837
2/3/2017,0.0762
2/10/2017,0.0857
2/17/2017,0.0683
2/24/2017,0.0641
3/3/2017,0.0858
3/10/2017,0.0711
3/17/2017,0.0545
3/24/2017,0.0525
3/31/2017,0.0438
4/7/2017,0.0452
4/14/2017,0.04
4/21/2017,0.0495
4/28/2017,0.0836
5/5/2017,0.0449
5/12/2017,0.0404
5/19/2017,0.0619
5/26/2017,0.0406
6/2/2017,0.0462
6/9/2017,0.0428
6/16/2017,0.0547
6/23/2017,0.0238
6/30/2017,0.0803
7/7/2017,0.0429
7/14/2017,0.0536
7/21/2017,0.0539
7/28/2017,0.0393
8/4/2017,0.0376
8/11/2017,0.0309
8/18/2017,0.0498
8/25/2017,0.0519
9/1/2017,0.06
9/8/2017,0.062
9/15/2017,0.0562
9/22/2017,0.0465
9/29/2017,0.0473
10/6/2017,0.0394
10/13/2017,0.0405
10/20/2017,0.0409
10/27/2017,0.0652
11/3/2017,0.0476
11/10/2017,0.0546
11/17/2017,0.0642
11/24/2017,0.0628
12/1/2017,0.0531
12/8/2017,0.061
12/15/2017,0.0419
12/22/2017,0.0595
12/29/2017,0.0309
1/5/2018,0.0528
1/12/2018,0.062
1/19/2018,0.0305
1/26/2018,0.0647
2/2/2018,0.0679
2/9/2018,0.1279
2/16/2018,0.1175
2/23/2018,0.0523
3/2/2018,0.1018
3/9/2018,0.0845
3/16/2018,0.0629
3/23/2018,0.0904
3/30/2018,0.0746
4/6/2018,0.0773
4/13/2018,0.054
4/20/2018,0.0632
4/27/2018,0.0629
5/4/2018,0.0488
5/11/2018,0.0473
5/18/2018,0.0485
5/25/2018,0.0796
6/1/2018,0.1588
6/8/2018,0.1054
6/15/2018,0.135
6/22/2018,0.1032
6/29/2018,0.1231
7/6/2018,0.0673
7/13/2018,0.083
7/20/2018,0.0725
7/27/2018,0.0571
8/3/2018,0.0603
8/10/2018,0.0577
8/17/2018,0.0582
8/24/2018,0.0508
8/31/2018,0.0733
9/7/2018,0.0977
9/14/2018,0.062
9/21/2018,0.0551
9/28/2018,0.0549
10/5/2018,0.0775
10/12/2018,0.0717
10/19/2018,0.0643
10/26/2018,0.0778
11/2/2018,0.0862
11/9/2018,0.0655
11/16/2018,0.0607
11/23/2018,0.0725
11/30/2018,0.0586
12/7/2018,0.1005
12/14/2018,0.1192
12/21/2018,0.1122
12/28/2018,0.0742
1/4/2019,0.1433
1/11/2019,0.1262
1/18/2019,0.1556
1/25/2019,0.1232
2/1/2019,0.1179
2/8/2019,0.1419
2/15/2019,0.1378
2/22/2019,0.0943
3/1/2019,0.108
3/8/2019,0.1082
3/15/2019,0.076
3/22/2019,0.1195
3/29/2019,0.1169
4/5/2019,0.1226
4/12/2019,0.1199
4/19/2019,0.0739
4/26/2019,0.064
5/3/2019,0.0584
5/10/2019,0.0896
5/17/2019,0.096
5/24/2019,0.116
5/31/2019,0.0958
6/7/2019,0.099
6/14/2019,0.077
6/21/2019,0.0933
6/28/2019,0.0701
7/5/2019,0.0631
7/12/2019,0.0618
7/19/2019,0.051
7/26/2019,0.0474
8/2/2019,0.0362
8/9/2019,0.0739
8/16/2019,0.0915
8/23/2019,0.117
8/30/2019,0.0822
9/6/2019,0.0893
9/13/2019,0.0792
9/20/2019,0.0615
9/27/2019,0.0803
10/4/2019,0.0665
10/11/2019,0.0914
10/18/2019,0.0599
10/25/2019,0.0588
11/1/2019,0.0566
11/8/2019,0.0675
11/15/2019,0.0494
11/22/2019,0.0483
11/29/2019,0.0382
12/6/2019,0.0521
12/13/2019,0.0441
