Date,BBVA
2022-02-01 00:00:00,149.76
2022-01-31 00:00:00,153.59
2022-01-28 00:00:00,155.295
2022-01-27 00:00:00,148.81
2022-01-26 00:00:00,145.72
2022-01-25 00:00:00,148.375
2022-01-24 00:00:00,152.105
2022-01-21 00:00:00,146.935
2022-01-20 00:00:00,144.49
2022-01-19 00:00:00,145.48
2022-01-18 00:00:00,147.235
2022-01-17 00:00:00,144.35
2022-01-14 00:00:00,142.39
2022-01-13 00:00:00,139.435
2022-01-12 00:00:00,140.11
2022-01-11 00:00:00,143.35
2022-01-10 00:00:00,145.355
2022-01-07 00:00:00,141.905
2022-01-06 00:00:00,139.87
2022-01-05 00:00:00,135.525
2022-01-04 00:00:00,133.905
2022-01-03 00:00:00,136.65
2021-12-31 00:00:00,136.46
2021-12-30 00:00:00,136.135
2021-12-29 00:00:00,138.225
2021-12-28 00:00:00,138.175
2021-12-27 00:00:00,138.795
2021-12-24 00:00:00,138.73
2021-12-23 00:00:00,139.45
2021-12-22 00:00:00,139.475
2021-12-21 00:00:00,140.045
2021-12-20 00:00:00,147.805
2021-12-17 00:00:00,141.88
2021-12-16 00:00:00,137.235
2021-12-15 00:00:00,139.66
2021-12-14 00:00:00,141.26
2021-12-13 00:00:00,138.23
2021-12-10 00:00:00,140.87
2021-12-09 00:00:00,139.94
2021-12-08 00:00:00,147.425
2021-12-07 00:00:00,150.715
2021-12-06 00:00:00,161.505
2021-12-03 00:00:00,160.355
2021-12-02 00:00:00,160.955
2021-12-01 00:00:00,156.435
2021-11-30 00:00:00,157.12
2021-11-29 00:00:00,155.74
2021-11-26 00:00:00,160.255
2021-11-25 00:00:00,147.89
2021-11-24 00:00:00,147.09
2021-11-23 00:00:00,148.085
2021-11-22 00:00:00,140.84
2021-11-19 00:00:00,140.905
2021-11-18 00:00:00,138.86
2021-11-17 00:00:00,137.5
2021-11-16 00:00:00,133.795
2021-11-15 00:00:00,133.045
2021-11-12 00:00:00,129.56
2021-11-11 00:00:00,128.325
2021-11-10 00:00:00,127.02
2021-11-09 00:00:00,125.61
2021-11-08 00:00:00,124.12
2021-11-05 00:00:00,124.93
2021-11-04 00:00:00,126.455
2021-11-03 00:00:00,132.77
2021-11-02 00:00:00,135.795
2021-11-01 00:00:00,139.605
2021-10-29 00:00:00,138.055
2021-10-28 00:00:00,132.135
2021-10-27 00:00:00,129.96
2021-10-26 00:00:00,132.15
2021-10-25 00:00:00,136.465
2021-10-22 00:00:00,133.765
2021-10-21 00:00:00,134.165
2021-10-20 00:00:00,134.83
2021-10-19 00:00:00,135.455
2021-10-18 00:00:00,138.825
2021-10-15 00:00:00,134.36
2021-10-14 00:00:00,136.69
2021-10-13 00:00:00,142.305
2021-10-12 00:00:00,142.835
2021-10-11 00:00:00,138.085
2021-10-08 00:00:00,135.135
2021-10-07 00:00:00,132.405
2021-10-06 00:00:00,133.715
2021-10-05 00:00:00,129.56
2021-10-04 00:00:00,129.855
2021-10-01 00:00:00,127.455
2021-09-30 00:00:00,126.295
2021-09-29 00:00:00,125.46
2021-09-28 00:00:00,126.695
2021-09-27 00:00:00,122.95
2021-09-24 00:00:00,122.97
2021-09-23 00:00:00,120.74
2021-09-22 00:00:00,119.76
2021-09-21 00:00:00,121.375
2021-09-20 00:00:00,121.51
2021-09-17 00:00:00,105.535
2021-09-16 00:00:00,105.25
2021-09-15 00:00:00,107.635
2021-09-14 00:00:00,107.155
2021-09-13 00:00:00,108.01
2021-09-10 00:00:00,107.65
2021-09-09 00:00:00,108.09
2021-09-08 00:00:00,108.165
2021-09-07 00:00:00,107.74
2021-09-06 00:00:00,107.375
2021-09-03 00:00:00,107.355
